date,tas,sst,co2,land_temp,precip
2000-01-01,12.052392496707512,0.25,369.39,0.25,5.224693752649087
2000-02-01,12.5930473530168,0.56,369.65,0.56,7.29079931518676
2000-03-01,13.190573076849375,0.55,369.97,0.55,8.160206765390766
2000-04-01,14.27893388364015,0.56,370.35,0.56,6.274840632992953
2000-05-01,15.04100429845994,0.36,370.24,0.36,3.6224195421341823
2000-06-01,15.738934236272314,.40,369.31,0.4,1.8120803038637785
2000-07-01,15.991233468463632,.39,367.91,0.39,2.2263075488259823
2000-08-01,15.93654016388058,.42,366.76,0.42,1.4141203749096678
2000-09-01,15.207627134423149,.39,366.71,0.39,2.2954661749069643
2000-10-01,14.050715762604398,.27,367.91,0.27,4.176129885123979
2000-11-01,13.023938132773653,.30,369.28,0.3,4.650155869487243
2000-12-01,12.323265949220511,.28,370.1,0.28,5.326897172820345
2001-01-01,12.21219417067192,0.45,370.69,0.45,5.6132453581314845
2001-02-01,12.446781944110796,0.44,371.18,0.44,8.063659797249317
2001-03-01,13.249980291840188,0.56,371.59,0.56,8.43218317786233
2001-04-01,14.208246092864272,0.5,371.9,0.5,3.258714546947305
2001-05-01,15.21584432667413,0.58,371.76,0.58,1.4143899260553243
2001-06-01,15.87189865460067,.52,370.81,0.52,1.9775365763149184
2001-07-01,16.20850254380457,.59,369.44,0.59,2.52483730332618
2001-08-01,16.06063277694676,.49,368.32,0.49,2.486656602138976
2001-09-01,15.368196749607591,.52,368.36,0.52,2.257220069050132
2001-10-01,14.340353266998475,.50,369.71,0.5,3.559515091287476
2001-11-01,13.470080018260433,.72,371.04,0.72,4.402258910648261
2001-12-01,12.695603111471767,.55,371.97,0.55,3.520298551158578
2002-01-01,12.53720462319768,0.77,372.51,0.77,5.508999328460775
2002-02-01,12.721416709524306,0.79,372.91,0.79,8.263288710803872
2002-03-01,13.600135260572358,0.88,373.38,0.88,4.424461304611003
2002-04-01,14.29803387080807,0.58,373.73,0.58,3.022156546158467
2002-05-01,15.341595620265537,0.64,373.71,0.64,4.4552066819331255
2002-06-01,16.006057748500382,.53,372.84,0.53,1.781447685451449
2002-07-01,16.262945709961002,.62,371.41,0.62,1.6851902845884208
2002-08-01,16.06498073625346,.54,370.35,0.53,2.2761037648999314
2002-09-01,15.451581926109668,.64,370.67,0.64,0.86873849308263
2002-10-01,14.365475153865418,.54,371.95,0.54,2.163208835535754
2002-11-01,13.31575777891453,.59,373.28,0.59,2.795408404945309
2002-12-01,12.54330912440986,.44,374.26,0.44,3.920689084382496
2003-01-01,12.548477061895769,0.74,374.94,0.74,3.9182784122781498
2003-02-01,12.642030095796656,0.59,375.47,0.58,5.914488217874295
2003-03-01,13.24313006001745,0.6,375.92,0.6,2.569890316792624
2003-04-01,14.241567602802265,0.55,376.4,0.55,2.354014688089781
2003-05-01,15.247934458479222,0.6,376.55,0.6,1.3942395188693657
2003-06-01,15.84405877937496,.48,375.72,0.48,0.7665358425430516
2003-07-01,16.181755714961866,.58,374.17,0.58,0.7769779547807737
2003-08-01,16.157492489955587,.65,372.93,0.64,0.7802984829786771
2003-09-01,15.5201743142473,.62,373.11,0.62,1.2033647206765254
2003-10-01,14.55044548144673,.72,374.39,0.72,1.679236774107452
2003-11-01,13.333038808624224,.53,375.67,0.53,2.715775221621854
2003-12-01,12.84281439344943,.75,376.53,0.75,4.24369738134894
2004-01-01,12.400170379089955,0.58,377.21,0.58,3.522073005505795
2004-02-01,12.756572238577403,0.73,377.73,0.72,5.087500528612487
2004-03-01,13.397953891523116,0.63,378.16,0.63,3.872743028713779
2004-04-01,14.347263722750256,0.61,378.47,0.61,2.2805625346916134
2004-05-01,15.051327848563972,0.37,378.4,0.37,1.9043518568848712
2004-06-01,15.889477980546076,.44,377.51,0.44,0.9793471019467244
2004-07-01,15.953148384296869,.26,375.96,0.26,0.7577996679398882
2004-08-01,15.949997390491149,.45,374.49,0.45,0.5464576153271345
2004-09-01,15.406289994742565,.50,374.39,0.49,1.018265873108002
2004-10-01,14.45311039600898,.61,375.73,0.61,1.6877405463504267
2004-11-01,13.441601412865792,.73,377.2,0.73,2.830061799988735
2004-12-01,12.5697614958288,.51,378.17,0.5,3.431769373704132
2005-01-01,12.589491421225318,0.75,378.73,0.74,3.835664515293867
2005-02-01,12.735527886894488,0.6,379.27,0.6,3.301271709675318
2005-03-01,13.497623508200604,0.74,379.87,0.74,3.986112186207533
2005-04-01,14.432096445558956,0.67,380.32,0.67,1.359035924566959
2005-05-01,15.331201211456287,0.63,380.42,0.63,0.8988387916223752
2005-06-01,16.059360654487364,.65,379.6,0.65,1.3803026580769098
2005-07-01,16.31431596918793,.61,377.94,0.61,0.5619300248853045
2005-08-01,16.141177165084173,.60,376.73,0.6,2.16666918263246
2005-09-01,15.576023269584027,.72,376.76,0.71,2.2120503788790247
2005-10-01,14.618252376939893,.76,378.07,0.76,2.321746732344047
2005-11-01,13.501891658906231,.74,379.53,0.74,3.470359992618448
2005-12-01,12.766559755355672,.68,380.53,0.67,4.763987848426901
2006-01-01,12.39815819182786,0.56,381.33,0.56,7.702678416471223
2006-02-01,12.81891618540442,0.74,381.95,0.73,4.847510305525207
2006-03-01,13.39771361337381,0.63,382.34,0.63,5.246417827205662
2006-04-01,14.291736801125468,0.47,382.67,0.47,3.306322665298034
2006-05-01,15.189904525230247,0.48,382.63,0.48,1.866288158118059
2006-06-01,16.06408196012842,.66,381.76,0.66,1.7226610033514675
2006-07-01,16.232293739110162,.54,380.07,0.54,1.271046511334938
2006-08-01,16.18254870957412,.70,378.49,0.7,1.117163358046783
2006-09-01,15.494450386224344,.66,378.63,0.66,1.8609697721830152
2006-10-01,14.58432418948388,.70,380.08,0.69,3.1270100272527674
2006-11-01,13.47151412465604,.74,381.44,0.74,3.396257013507201
2006-12-01,12.860756072166737,.79,382.39,0.79,4.783148697741935
2007-01-01,12.805186223569308,1.02,383.03,1.02,5.850421212110855
2007-02-01,12.817509276430314,0.7,383.55,0.7,3.9683235352897865
2007-03-01,13.409851333042011,0.72,384.02,0.71,7.781885828147943
2007-04-01,14.535366251560449,0.76,384.28,0.76,2.9134501369677195
2007-05-01,15.345487598612864,0.69,384.13,0.69,2.7843508235576566
2007-06-01,15.95910124471476,.61,383.26,0.61,1.8434529321234243
2007-07-01,16.235312454474013,.60,381.55,0.6,1.3397401660555484
2007-08-01,16.09283749082158,.60,380.29,0.6,0.8771088086961595
2007-09-01,15.356538005218454,.60,380.68,0.6,2.923234855034172
2007-10-01,14.43235988880673,.59,382.1,0.58,3.994600981000954
2007-11-01,13.331733264397997,.59,383.45,0.59,3.791150368390919
2007-12-01,12.576225391491391,.50,384.46,0.5,4.137514179169609
2008-01-01,12.113917283130718,0.3,385.23,0.3,5.294439743384888
2008-02-01,12.408761020553584,0.38,385.74,0.38,6.305178173281587
2008-03-01,13.427927440852043,0.75,386.15,0.75,3.7847185003761727
2008-04-01,14.234976395400396,0.54,386.53,0.54,2.256902692500348
2008-05-01,15.156438270273384,0.5,386.49,0.5,2.2577796932943808
2008-06-01,15.78450515597467,.49,385.58,0.49,1.778339013409807
2008-07-01,16.20551889873491,.60,384.1,0.6,1.0742184171057314
2008-08-01,16.03255547809357,.46,382.77,0.46,1.0263664243727482
2008-09-01,15.416240300636844,.61,382.54,0.61,2.86721493756951
2008-10-01,14.483517756262527,.67,383.67,0.67,2.987741363877017
2008-11-01,13.42194052299442,.69,385.18,0.69,3.488125197481152
2008-12-01,12.621538463193248,.54,386.27,0.53,6.497905856077413
2009-01-01,12.501708697282991,0.65,387.03,0.65,6.722745194213298
2009-02-01,12.694807994906398,0.53,387.48,0.53,5.373537771170614
2009-03-01,13.287941955496931,0.54,387.71,0.53,3.9259183988581454
2009-04-01,14.301575770722591,0.61,387.99,0.61,3.058452175581371
2009-05-01,15.257578415790933,0.65,387.95,0.65,2.142246408390015
2009-06-01,15.987306909689153,.64,386.96,0.64,2.1123735958508894
2009-07-01,16.36664912647052,.74,385.01,0.74,1.909815002057974
2009-08-01,16.156774520755448,.69,383.63,0.69,2.4322006671933663
2009-09-01,15.55007059516646,.72,383.93,0.71,3.364581206235221
2009-10-01,14.526380158675067,.66,385.49,0.66,2.811731261203433
2009-11-01,13.511357526964275,.79,386.94,0.79,4.275319338401225
2009-12-01,12.733558820132316,.67,387.84,0.67,6.219893086518924
2010-01-01,12.635697833885672,0.75,388.62,0.75,5.882817749769139
2010-02-01,12.951742732060382,0.84,389.33,0.84,5.516838054434874
2010-03-01,13.678109892170085,0.92,389.68,0.92,4.915014345214954
2010-04-01,14.614069370834386,0.85,389.98,0.85,3.243102142192783
2010-05-01,15.459986013474634,0.76,389.95,0.75,3.410489306333666
2010-06-01,16.06948118653486,.68,389.01,0.67,1.2997865361203014
2010-07-01,16.280921894724997,.63,387.35,0.63,2.823630771744136
2010-08-01,16.157691755108374,.67,386.23,0.67,1.387151292773737
2010-09-01,15.5453905263073,.63,386.7,0.63,2.9976018476042725
2010-10-01,14.56274846987202,.72,388.25,0.72,3.8692841065127217
2010-11-01,13.504265431300324,.81,389.61,0.81,3.3704211579392505
2010-12-01,12.563794525480944,.45,390.34,0.45,4.8273666470808525
2011-01-01,12.35157841040467,0.53,390.85,0.52,6.901287308494946
2011-02-01,12.553576132793353,0.47,391.29,0.47,7.002972584748422
2011-03-01,13.350569498203072,0.66,391.67,0.65,5.300698890367337
2011-04-01,14.375273024877744,0.64,392.05,0.64,6.751475505807821
2011-05-01,15.219863701675592,0.53,392.07,0.53,2.4889716229259338
2011-06-01,16.0033460928247,.62,391.13,0.63,1.837687536444681
2011-07-01,16.372028072265437,.70,389.19,0.7,1.9262088641683408
2011-08-01,16.22231794447839,.75,387.86,0.75,1.6841782507768772
2011-09-01,15.493711800397705,.56,388.26,0.56,1.977752789458664
2011-10-01,14.475963066827376,.66,389.83,0.65,3.59859244815162
2011-11-01,13.275861127046484,.59,391.2,0.59,4.652475433915464
2011-12-01,12.62750106299211,.60,392.04,0.6,4.069531267644035
2012-01-01,12.276474854345224,0.47,392.61,0.47,5.196757906703192
2012-02-01,12.550565994782689,0.49,393.2,0.48,6.072681205849687
2012-03-01,13.272938744945122,0.57,393.72,0.57,7.72141248559139
2012-04-01,14.415969018103963,0.73,393.99,0.73,3.8959228974269617
2012-05-01,15.435123935142885,0.78,393.88,0.78,2.572354294056414
2012-06-01,16.102338321169555,.65,392.84,0.65,1.6047350377738514
2012-07-01,16.269232236165635,.59,391.0,0.59,0.8241610104752408
2012-08-01,16.1879299193061,.66,389.89,0.66,2.476315250011411
2012-09-01,15.55925790305588,.73,390.55,0.72,2.7284834028143456
2012-10-01,14.665545992288967,.80,392.16,0.8,5.015326154636376
2012-11-01,13.56643337193617,.79,393.56,0.78,3.799675464829592
2012-12-01,12.63342988049476,.53,394.39,0.53,4.658895435698148
2013-01-01,12.588774487876949,0.71,395.07,0.71,5.298439578738381
2013-02-01,12.745211791945508,0.62,395.69,0.62,6.4571565557566295
2013-03-01,13.433073571241437,0.68,396.29,0.67,4.2441431220805335
2013-04-01,14.325257862120113,0.53,396.74,0.53,4.782869153691408
2013-05-01,15.283062322634636,0.61,396.75,0.6,2.8276470724974865
2013-06-01,16.090348193569582,.70,395.96,0.7,2.1239952010809264
2013-07-01,16.20392435685585,.60,394.47,0.6,1.408381251562635
2013-08-01,16.16617320882858,.71,393.24,0.7,1.2720544231308974
2013-09-01,15.616040168661812,.77,393.21,0.77,2.094087570687534
2013-10-01,14.497783195873067,.70,394.51,0.7,2.536980329153002
2013-11-01,13.520177108884411,.84,395.96,0.83,4.594355670160299
2013-12-01,12.792071720796857,.70,396.87,0.7,5.652157212290819
2014-01-01,12.568978302163885,0.77,397.51,0.77,6.169893794826909
2014-02-01,12.63378817585135,0.55,397.97,0.55,7.101316992062488
2014-03-01,13.499790708957562,0.78,398.27,0.78,4.361227459505526
2014-04-01,14.471158890340234,0.81,398.63,0.81,4.663566945439625
2014-05-01,15.444955862445454,0.87,398.69,0.86,2.706389933316089
2014-06-01,16.055027743486676,.67,397.72,0.67,1.7802293724275302
